entity_id,group_id,signature,entity_type,simple_name,qualified_name,file,start_line,end_line,block_id,observed_products,resolution_status
"E32","G4","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5","FIELD","playerLocationX","MapInfo.playerLocationX","C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11",21,21,"C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11:IF:8-132","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5","RESOLVED_INTERNAL"
"E33","G4","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5","FIELD","playerLocationY","MapInfo.playerLocationY","C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11",22,22,"C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11:IF:8-132","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5","RESOLVED_INTERNAL"
"E34","G4","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5","FIELD","baseLocationX","MapInfo.baseLocationX","C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11",23,23,"C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11:IF:8-132","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5","RESOLVED_INTERNAL"
"E35","G4","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5","FIELD","baseLocationY","MapInfo.baseLocationY","C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11",24,24,"C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11:IF:8-132","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5","RESOLVED_INTERNAL"
"E36","G4","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5","FIELD","brickWallLocationX","MapInfo.brickWallLocationX","C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11",25,25,"C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11:IF:8-132","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5","RESOLVED_INTERNAL"
"E37","G4","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5","FIELD","brickWallLocationY","MapInfo.brickWallLocationY","C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11",26,26,"C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11:IF:8-132","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5","RESOLVED_INTERNAL"
"E38","G4","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5","FIELD","brickWallWidth","MapInfo.brickWallWidth","C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11",27,27,"C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11:IF:8-132","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5","RESOLVED_INTERNAL"
"E39","G4","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5","FIELD","brickWallHeight","MapInfo.brickWallHeight","C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11",28,28,"C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11:IF:8-132","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5","RESOLVED_INTERNAL"
"E40","G4","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5","FIELD","metalWallLocationX","MapInfo.metalWallLocationX","C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11",29,29,"C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11:IF:8-132","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5","RESOLVED_INTERNAL"
"E41","G4","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5","FIELD","metalWallLocationY","MapInfo.metalWallLocationY","C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11",30,30,"C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11:IF:8-132","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5","RESOLVED_INTERNAL"
"E42","G4","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5","FIELD","metalWallWidth","MapInfo.metalWallWidth","C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11",31,31,"C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11:IF:8-132","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5","RESOLVED_INTERNAL"
"E43","G4","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5","FIELD","metalWallHeight","MapInfo.metalWallHeight","C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11",32,32,"C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11:IF:8-132","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5","RESOLVED_INTERNAL"
"E44","G4","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5","FIELD","grassWallLocationX","MapInfo.grassWallLocationX","C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11",33,33,"C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11:IF:8-132","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5","RESOLVED_INTERNAL"
"E45","G4","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5","FIELD","grassWallLocationY","MapInfo.grassWallLocationY","C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11",34,34,"C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11:IF:8-132","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5","RESOLVED_INTERNAL"
"E46","G4","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5","FIELD","grassWallWidth","MapInfo.grassWallWidth","C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11",35,35,"C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11:IF:8-132","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5","RESOLVED_INTERNAL"
"E47","G4","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5","FIELD","grassWallHeight","MapInfo.grassWallHeight","C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11",36,36,"C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11:IF:8-132","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5","RESOLVED_INTERNAL"
"E48","G4","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5","FIELD","waterWallLocationX","MapInfo.waterWallLocationX","C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11",37,37,"C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11:IF:8-132","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5","RESOLVED_INTERNAL"
"E49","G4","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5","FIELD","waterWallLocationY","MapInfo.waterWallLocationY","C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11",38,38,"C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11:IF:8-132","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5","RESOLVED_INTERNAL"
