evidence_id,candidate_id,source_file,source_line,source_entity,source_entity_type,source_block_id,source_asset_id,source_is_outermost,target_file,target_line,target_entity,target_entity_type,target_block_id,target_asset_id,target_is_outermost,dependency_kind,code_snippet,source_products,target_products
D16,RC-0016,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11,108,MapInfo.readMap,METHOD,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11:IF:8-132,asset11,true,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11,16,MapInfo.enemyPosition,FIELD,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11:IF:8-132,asset11,true,FIELD_REFERENCE,enemyPosition.addElement(temp);,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5
D19,RC-0017,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11,117,MapInfo.readMap,METHOD,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11:IF:8-132,asset11,true,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11,44,MapInfo.enemyTy,FIELD,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11:IF:8-132,asset11,true,FIELD_REFERENCE,enemyTy = ((int) toChar[i + 1] - 48) * 10 + (int) toChar[i + 2] - 48;,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5
D20,RC-0017,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11,118,MapInfo.readMap,METHOD,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11:IF:8-132,asset11,true,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11,44,MapInfo.enemyTy,FIELD,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11:IF:8-132,asset11,true,FIELD_REFERENCE,Integer temp = new Integer(enemyTy);,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5
D21,RC-0018,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11,119,MapInfo.readMap,METHOD,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11:IF:8-132,asset11,true,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11,17,MapInfo.enemyType,FIELD,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11:IF:8-132,asset11,true,FIELD_REFERENCE,enemyType.addElement(temp);,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5
D60,RC-0019,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11,96,MapInfo.readMap,METHOD,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11:IF:8-132,asset11,true,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11,14,MapInfo.grassWall,FIELD,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11:IF:8-132,asset11,true,FIELD_REFERENCE,"grassWall.addElement(new Wall(tankManager, grassWallLocationX, grassWallLocationY, grassWallWidth, grassWallHeight, 32));",TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5
D58,RC-0020,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11,95,MapInfo.readMap,METHOD,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11:IF:8-132,asset11,true,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11,36,MapInfo.grassWallHeight,FIELD,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11:IF:8-132,asset11,true,FIELD_REFERENCE,grassWallHeight = (((int) toChar[i + 7] - 48) * 10 + (int) toChar[i + 8] - 48);,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5
D65,RC-0020,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11,96,MapInfo.readMap,METHOD,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11:IF:8-132,asset11,true,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11,36,MapInfo.grassWallHeight,FIELD,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11:IF:8-132,asset11,true,FIELD_REFERENCE,"grassWall.addElement(new Wall(tankManager, grassWallLocationX, grassWallLocationY, grassWallWidth, grassWallHeight, 32));",TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5
D55,RC-0021,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11,92,MapInfo.readMap,METHOD,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11:IF:8-132,asset11,true,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11,33,MapInfo.grassWallLocationX,FIELD,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11:IF:8-132,asset11,true,FIELD_REFERENCE,grassWallLocationX = (((int) toChar[i + 1] - 48) * 10 + (int) toChar[i + 2] - 48);,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5
D62,RC-0021,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11,96,MapInfo.readMap,METHOD,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11:IF:8-132,asset11,true,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11,33,MapInfo.grassWallLocationX,FIELD,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11:IF:8-132,asset11,true,FIELD_REFERENCE,"grassWall.addElement(new Wall(tankManager, grassWallLocationX, grassWallLocationY, grassWallWidth, grassWallHeight, 32));",TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5
D56,RC-0022,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11,93,MapInfo.readMap,METHOD,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11:IF:8-132,asset11,true,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11,34,MapInfo.grassWallLocationY,FIELD,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11:IF:8-132,asset11,true,FIELD_REFERENCE,grassWallLocationY = (((int) toChar[i + 3] - 48) * 10 + (int) toChar[i + 4] - 48);,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5
